TID: [-1234] [devportal] [2024-06-21 05:07:33,559] ERROR {org.apache.jsp.services.refresh.refresh_jsp} - org.wso2.carbon.ui.filters.cache.ContentTypeBasedCachePreventionFilter$1@c780266
TID: [-1234] [api/am/devportal] [2024-06-21 05:07:33,590] ERROR {org.wso2.carbon.apimgt.rest.api.util.impl.OAuthOpaqueAuthenticatorImpl} - Invalid OAuth Token : Invalid Access Token. ACTIVE access token is not found.
TID: [-1234] [api/am/devportal] [2024-06-21 05:07:33,590] ERROR {org.wso2.carbon.apimgt.rest.api.util.impl.OAuthOpaqueAuthenticatorImpl} - Provided access token is invalid
TID: [-1234] [] [2024-06-21 05:07:40,188]  WARN {org.wso2.carbon.identity.oidc.session.OIDCInboundSessionContextMgtListener} - No session state found for the received Session ID : c0c3ddfa-a032-4bdf-ad09-743d54e92a8a-v2
TID: [] [] [2024-06-21 05:07:52,265]  INFO {org.wso2.carbon.databridge.core.DataBridge} - user admin connected
TID: [] [] [2024-06-21 07:08:58,583]  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionCleanUpService} - Session Data cleanup task is running successfully for removing expired Data
TID: [-1234] [] [2024-06-21 08:01:24,174]  WARN {org.wso2.carbon.identity.oidc.session.OIDCInboundSessionContextMgtListener} - No session state found for the received Session ID : d500aae0-ac36-4bfb-a9a8-85ab092f0383-v2
TID: [-1234] [publisher] [2024-06-21 08:03:10,372] ERROR {org.apache.jsp.services.refresh.refresh_jsp} - org.wso2.carbon.ui.filters.cache.ContentTypeBasedCachePreventionFilter$1@28edbc59
TID: [-1234] [publisher] [2024-06-21 08:03:10,372] ERROR {org.apache.jsp.services.refresh.refresh_jsp} - org.wso2.carbon.ui.filters.cache.ContentTypeBasedCachePreventionFilter$1@57128b65
TID: [-1234] [api/am/publisher] [2024-06-21 08:03:10,377] ERROR {org.wso2.carbon.apimgt.rest.api.util.impl.OAuthOpaqueAuthenticatorImpl} - Invalid OAuth Token : Invalid Access Token. ACTIVE access token is not found.
TID: [-1234] [api/am/publisher] [2024-06-21 08:03:10,377] ERROR {org.wso2.carbon.apimgt.rest.api.util.impl.OAuthOpaqueAuthenticatorImpl} - Provided access token is invalid
TID: [-1234] [api/am/publisher] [2024-06-21 08:03:10,377] ERROR {org.wso2.carbon.apimgt.rest.api.util.impl.OAuthOpaqueAuthenticatorImpl} - Invalid OAuth Token : Invalid Access Token. ACTIVE access token is not found.
TID: [-1234] [api/am/publisher] [2024-06-21 08:03:10,377] ERROR {org.wso2.carbon.apimgt.rest.api.util.impl.OAuthOpaqueAuthenticatorImpl} - Provided access token is invalid
TID: [] [] [2024-06-21 08:05:39,834]  INFO {org.wso2.carbon.databridge.core.DataBridge} - user admin connected
TID: [] [] [2024-06-21 08:06:45,888]  INFO {org.apache.synapse.api.API} - {api:BankingPaymentsAPI:v1.0.0} Destroying API: BankingPaymentsAPI:v1.0.0
TID: [] [] [2024-06-21 08:06:45,889]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - API : BankingPaymentsAPI:v1.0.0 was removed from the Synapse configuration successfully
TID: [] [] [2024-06-21 08:06:45,890]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Local entry : e586890e-0885-482e-9234-6dc5b0a821df was removed from the Synapse configuration successfully
TID: [-1234] [internal/data/v1] [2024-06-21 08:07:20,977]  INFO {org.wso2.carbon.apimgt.impl.importexport.utils.CommonUtil} - Creation of folder is successful. Directory Name : BankingPaymentsAPI-1.0.0
TID: [-1234] [internal/data/v1] [2024-06-21 08:07:20,977]  INFO {org.wso2.carbon.apimgt.impl.importexport.utils.CommonUtil} - Creation of folder is successful. Directory Name : Definitions
TID: [] [] [2024-06-21 08:07:21,021]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Local entry : d8bad82f-5a29-4ee4-87a9-70dd90fcfc48 was added to the Synapse configuration successfully
TID: [] [] [2024-06-21 08:07:21,022]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Endpoint : BankingPaymentsAPI--v1.0.0_APIproductionEndpoint was added to the Synapse configuration successfully
TID: [] [] [2024-06-21 08:07:21,022]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Endpoint : BankingPaymentsAPI--v1.0.0_APIsandboxEndpoint was added to the Synapse configuration successfully
TID: [] [] [2024-06-21 08:07:21,024]  INFO {org.apache.synapse.api.API} - {api:BankingPaymentsAPI:v1.0.0} Initializing API: BankingPaymentsAPI:v1.0.0
TID: [] [] [2024-06-21 08:07:21,024]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - API : BankingPaymentsAPI:v1.0.0 was added to the Synapse configuration successfully
TID: [] [] [2024-06-21 08:08:26,011]  WARN {org.apache.synapse.transport.passthru.SourceHandler} - I/O error: Received fatal alert: certificate_unknown
TID: [] [] [2024-06-21 08:08:26,011]  WARN {org.apache.synapse.transport.passthru.SourceHandler} - I/O error: Received fatal alert: certificate_unknown
TID: [] [] [2024-06-21 08:08:26,066]  WARN {org.apache.synapse.transport.http.access.AccessConfiguration} - Error loading properties from file: access-log.properties
TID: [] [] [2024-06-21 08:08:26,069]  WARN {org.apache.synapse.commons.util.MiscellaneousUtil} - Error loading properties from a file at from the System defined location: access-log.properties
TID: [] [] [2024-06-21 08:08:26,069]  WARN {org.apache.synapse.commons.util.MiscellaneousUtil} - Error loading properties from a file at from the System defined location: access-log.properties
TID: [] [] [2024-06-21 08:08:26,069]  WARN {org.apache.synapse.commons.util.MiscellaneousUtil} - Error loading properties from a file at from the System defined location: access-log.properties
TID: [] [] [2024-06-21 08:08:26,265]  INFO {org.wso2.carbon.apimgt.keymgt.handlers.DefaultKeyValidationHandler} - org.wso2.carbon.apimgt.keymgt.handlers.DefaultKeyValidationHandler Initialised
