TID: [2024-06-19 13:12:04,804]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2024-06-19 13:12:07,050] []  INFO {org.ops4j.pax.logging.spi.support.EventAdminConfigurationNotifier} - Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
TID: [] [] [2024-06-19 13:12:07,159] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2024-06-19 13:12:07,160] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Mac OS X 13.5, aarch64
TID: [] [] [2024-06-19 13:12:07,160] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /Library/Java/JavaVirtualMachines/temurin-11.jdk/Contents/Home
TID: [] [] [2024-06-19 13:12:07,160] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 11.0.18
TID: [] [] [2024-06-19 13:12:07,161] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 11.0.18+10,Eclipse Adoptium
TID: [] [] [2024-06-19 13:12:07,161] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /Users/pamod/Desktop/setup/deployment/iam/wso2is-7.0.0
TID: [] [] [2024-06-19 13:12:07,161] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /Users/pamod/Desktop/setup/deployment/iam/wso2is-7.0.0/tmp
TID: [] [] [2024-06-19 13:12:07,161] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : pamod, en-LK, Asia/Colombo
TID: [] [] [2024-06-19 13:12:07,383] []  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [] [] [2024-06-19 13:12:07,480] []  INFO {org.wso2.carbon.extension.identity.verification.provider.internal.IdVProviderMgtServiceComponent} - IdVProviderMgtService bundle activated successfully.
TID: [] [] [2024-06-19 13:12:07,607] []  INFO {org.wso2.carbon.identity.hash.provider.pbkdf2.internal.PBKDF2HashServiceComponent} - PBKDF2 bundle activated successfully.
TID: [] [] [2024-06-19 13:12:07,925] []  INFO {org.wso2.carbon.identity.user.onboard.core.service.internal.ServiceComponent} - User onboard api core service component activated successfully.
TID: [] [] [2024-06-19 13:12:08,010] []  INFO {org.wso2.carbon.mex.internal.Office365SupportMexComponent} - Office365Support MexServiceComponent bundle activated successfully..
TID: [] [] [2024-06-19 13:12:08,018] []  INFO {org.wso2.carbon.mex2.internal.DynamicCRMCustomMexComponent} - DynamicCRMSupport MexServiceComponent bundle activated successfully.
TID: [] [] [2024-06-19 13:12:09,080] []  INFO {org.apache.jasper.servlet.TldScanner} - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
TID: [] [] [2024-06-19 13:12:09,541] []  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
TID: [] [] [2024-06-19 13:12:09,549] []  INFO {org.wso2.carbon.extension.identity.verification.mgt.internal.IdentityVerificationServiceComponent} - IdentityVerificationService bundle activated successfully.
TID: [] [] [2024-06-19 13:12:09,768] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 44ms
TID: [] [] [2024-06-19 13:12:09,809] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 2ms
TID: [] [] [2024-06-19 13:12:09,809] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 2ms
TID: [] [] [2024-06-19 13:12:09,899] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 0ms
TID: [] [] [2024-06-19 13:12:09,899] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 0ms
TID: [] [] [2024-06-19 13:12:09,907] []  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [] [] [2024-06-19 13:12:16,123] []  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [] [] [2024-06-19 13:12:16,256] []  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
TID: [] [] [2024-06-19 13:12:16,570] []  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [] [] [2024-06-19 13:12:16,570] []  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [] [] [2024-06-19 13:12:16,574] []  INFO {org.apache.axis2.transport.mail.MailTransportSender} - MAILTO Sender started
TID: [] [] [2024-06-19 13:12:16,663] []  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: AdminAdvisoryManagementService {super-tenant}
TID: [] [] [2024-06-19 13:12:16,783] []  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: I18nEmailMgtConfigService {super-tenant}
TID: [] [] [2024-06-19 13:12:17,094] []  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: AccountCredentialMgtConfigService {super-tenant}
TID: [] [] [2024-06-19 13:12:17,094] []  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserIdentityManagementAdminService {super-tenant}
TID: [] [] [2024-06-19 13:12:17,095] []  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserInformationRecoveryService {super-tenant}
TID: [] [] [2024-06-19 13:12:17,153] []  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: SAMLQueryService {super-tenant}
TID: [] [] [2024-06-19 13:12:17,300] []  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: mex-ut {super-tenant}
TID: [] [] [2024-06-19 13:12:17,302] []  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: mex-ut2 {super-tenant}
TID: [] [] [2024-06-19 13:12:17,669] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Repository       : /Users/pamod/Desktop/setup/deployment/iam/wso2is-7.0.0/repository/deployment/server/
TID: [] [] [2024-06-19 13:12:17,684] []  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [] [] [2024-06-19 13:12:17,690] []  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [] [] [2024-06-19 13:12:18,120] []  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.common.DefaultRealm
TID: [] [] [2024-06-19 13:12:18,121] []  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.jdbc.UniqueIDJDBCUserStoreManager
TID: [] [] [2024-06-19 13:12:18,255] []  INFO {org.wso2.carbon.identity.organization.discovery.service.internal.OrganizationDiscoveryServiceComponent} - Organization discovery service component activated successfully.
TID: [] [] [2024-06-19 13:12:18,351] []  WARN {org.wso2.carbon.identity.auth.service.internal.AuthenticationServiceComponent} - 

##################################  ALERT  ##################################
[WARNING]: Internal authentication is utilizing default credentials,
which may expose the environment to potential security risks.
If this is a production environment, change the credentials immediately.
#############################################################################

TID: [] [] [2024-06-19 13:12:18,367] []  INFO {org.wso2.carbon.identity.organization.management.tenant.association.internal.TenantAssociationServiceComponent} - Organization management related TenantAssociationManagementListener registered successfully.
TID: [] [] [2024-06-19 13:12:18,676] []  INFO {org.wso2.carbon.identity.authenticator.x509Certificate.internal.X509CertificateServiceComponent} - X509 Certificate Servlet activated successfully..
TID: [] [] [2024-06-19 13:12:18,816] []  INFO {org.wso2.carbon.identity.local.auth.api.core.internal.AuthAPIServiceComponent} - Auth API Service Component  is activated.
TID: [] [] [2024-06-19 13:12:18,886] []  INFO {org.wso2.balana.ConfigurationStore} - Loading runtime configuration
TID: [] [] [2024-06-19 13:12:18,935] []  INFO {org.wso2.carbon.identity.entitlement.internal.SchemaBuilder} - XACML policy schema loaded successfully.
TID: [] [] [2024-06-19 13:12:19,376] []  INFO {org.wso2.carbon.identity.organization.user.invitation.management.internal.UserInvitationMgtServiceComponent} - Organization User Invitation Mgt component activated successfully.
TID: [] [] [2024-06-19 13:12:19,377] []  INFO {org.wso2.carbon.identity.organization.user.invitation.management.internal.UserInvitationMgtServiceComponent} - Organization User Invitation Handler activated successfully.
TID: [] [] [2024-06-19 13:12:19,380] []  INFO {org.wso2.carbon.identity.organization.management.organization.user.sharing.internal.OrganizationUserSharingServiceComponent} - OrganizationUserSharingServiceComponent activated successfully.
TID: [] [] [2024-06-19 13:12:19,602] []  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore} - Thread pool size for temporary authentication context data delete task: 20
TID: [] [] [2024-06-19 13:12:19,722] []  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - The default OAuth token issuer will be used. No custom token generator is set.
TID: [] [] [2024-06-19 13:12:19,723] []  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - An instance of org.wso2.carbon.identity.oauth2.token.OauthTokenIssuerImpl is created for Identity OAuth token generation.
TID: [] [] [2024-06-19 13:12:19,734] []  INFO {org.opensaml.core.config.InitializationService} - Initializing OpenSAML using the Java Services API
TID: [] [] [2024-06-19 13:12:21,214] []  INFO {org.wso2.carbon.healthcheck.api.core.internal.HealthMonitorServiceComponent} - Carbon health monitoring service is activated..
TID: [] [] [2024-06-19 13:12:21,512] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :EmailPublisher.xml, Stream validation exception : Stream id_gov_notify_stream:1.0.0 does not exist
TID: [] [] [2024-06-19 13:12:21,519] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration deleted from the file system : IsAnalytics-Publisher-wso2event-AuthenticationData-1.1.0.xml
TID: [] [] [2024-06-19 13:12:21,519] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-AuthenticationData-1.1.0.xml
TID: [] [] [2024-06-19 13:12:21,550] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration saved in the filesystem : IsAnalytics-Publisher-wso2event-AuthenticationData-1.1.0.xml
TID: [] [] [2024-06-19 13:12:21,551] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :IsAnalytics-Publisher-wso2event-AuthenticationData-1.1.0.xml, Stream validation exception : Stream org.wso2.is.analytics.stream.OverallAuthentication:1.1.0 does not exist
TID: [] [] [2024-06-19 13:12:21,552] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :IsAnalytics-Publisher-wso2event-AuthenticationData.xml, Stream validation exception : Stream org.wso2.is.analytics.stream.OverallAuthentication:1.0.0 does not exist
TID: [] [] [2024-06-19 13:12:21,553] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration deleted from the file system : IsAnalytics-Publisher-wso2event-OauthTokenIssueRefresh.xml
TID: [] [] [2024-06-19 13:12:21,553] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-OauthTokenIssueRefresh.xml
TID: [] [] [2024-06-19 13:12:21,559] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration saved in the filesystem : IsAnalytics-Publisher-wso2event-OauthTokenIssueRefresh.xml
TID: [] [] [2024-06-19 13:12:21,560] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :IsAnalytics-Publisher-wso2event-OauthTokenIssueRefresh.xml, Stream validation exception : Stream org.wso2.is.analytics.stream.OauthTokenIssuance:1.0.0 does not exist
TID: [] [] [2024-06-19 13:12:21,560] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration deleted from the file system : IsAnalytics-Publisher-wso2event-OauthTokenRevocation.xml
TID: [] [] [2024-06-19 13:12:21,561] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-OauthTokenRevocation.xml
TID: [] [] [2024-06-19 13:12:21,562] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration saved in the filesystem : IsAnalytics-Publisher-wso2event-OauthTokenRevocation.xml
TID: [] [] [2024-06-19 13:12:21,563] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :IsAnalytics-Publisher-wso2event-OauthTokenRevocation.xml, Stream validation exception : Stream org.wso2.is.analytics.stream.OauthTokenRevocation:1.0.0 does not exist
TID: [] [] [2024-06-19 13:12:21,564] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration deleted from the file system : IsAnalytics-Publisher-wso2event-OauthTokenValidation.xml
TID: [] [] [2024-06-19 13:12:21,564] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-OauthTokenValidation.xml
TID: [] [] [2024-06-19 13:12:21,565] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration saved in the filesystem : IsAnalytics-Publisher-wso2event-OauthTokenValidation.xml
TID: [] [] [2024-06-19 13:12:21,566] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :IsAnalytics-Publisher-wso2event-OauthTokenValidation.xml, Stream validation exception : Stream org.wso2.is.analytics.stream.OauthTokenValidation:1.0.0 does not exist
TID: [] [] [2024-06-19 13:12:21,566] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration deleted from the file system : IsAnalytics-Publisher-wso2event-RoleData.xml
TID: [] [] [2024-06-19 13:12:21,566] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-RoleData.xml
TID: [] [] [2024-06-19 13:12:21,568] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration saved in the filesystem : IsAnalytics-Publisher-wso2event-RoleData.xml
TID: [] [] [2024-06-19 13:12:21,568] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :IsAnalytics-Publisher-wso2event-RoleData.xml, Stream validation exception : Stream org.wso2.is.analytics.stream.OverallRoleData:1.0.0 does not exist
TID: [] [] [2024-06-19 13:12:21,569] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :IsAnalytics-Publisher-wso2event-SessionData.xml, Stream validation exception : Stream org.wso2.is.analytics.stream.OverallSession:1.0.1 does not exist
TID: [] [] [2024-06-19 13:12:21,569] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration deleted from the file system : IsAnalytics-Publisher-wso2event-UserData.xml
TID: [] [] [2024-06-19 13:12:21,570] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-UserData.xml
TID: [] [] [2024-06-19 13:12:21,571] []  INFO {org.wso2.carbon.event.publisher.core.internal.util.helper.EventPublisherConfigurationFilesystemInvoker} - Event Publisher configuration saved in the filesystem : IsAnalytics-Publisher-wso2event-UserData.xml
TID: [] [] [2024-06-19 13:12:21,571] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :IsAnalytics-Publisher-wso2event-UserData.xml, Stream validation exception : Stream org.wso2.is.analytics.stream.OverallUserData:1.0.0 does not exist
TID: [] [] [2024-06-19 13:12:21,572] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :SMSPublisher.xml, Stream validation exception : Stream id_gov_sms_notify_stream:1.0.0 does not exist
TID: [] [] [2024-06-19 13:12:21,577] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : EmailPublisher.xml
TID: [] [] [2024-06-19 13:12:21,587] []  INFO {org.wso2.carbon.event.stream.core.internal.EventJunction} - WSO2EventConsumer added to the junction. Stream:id_gov_notify_stream:1.0.0
TID: [] [] [2024-06-19 13:12:21,589] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher configuration successfully deployed and in active state : EmailPublisher
TID: [] [] [2024-06-19 13:12:21,589] []  INFO {org.wso2.carbon.event.stream.core.EventStreamDeployer} - Stream definition is deployed successfully  : id_gov_notify_stream:1.0.0
TID: [] [] [2024-06-19 13:12:21,590] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : SMSPublisher.xml
TID: [] [] [2024-06-19 13:12:21,591] []  INFO {org.wso2.carbon.event.stream.core.internal.EventJunction} - WSO2EventConsumer added to the junction. Stream:id_gov_sms_notify_stream:1.0.0
TID: [] [] [2024-06-19 13:12:21,592] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher configuration successfully deployed and in active state : SMSPublisher
TID: [] [] [2024-06-19 13:12:21,592] []  INFO {org.wso2.carbon.event.stream.core.EventStreamDeployer} - Stream definition is deployed successfully  : id_gov_sms_notify_stream:1.0.0
TID: [] [] [2024-06-19 13:12:21,593] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-OauthTokenIssueRefresh.xml
TID: [] [] [2024-06-19 13:12:21,595] []  INFO {org.wso2.carbon.event.stream.core.internal.EventJunction} - WSO2EventConsumer added to the junction. Stream:org.wso2.is.analytics.stream.OauthTokenIssuance:1.0.0
TID: [] [] [2024-06-19 13:12:21,595] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher configuration successfully deployed and in active state : IsAnalytics-Publisher-wso2event-OauthTokenIssueRefresh
TID: [] [] [2024-06-19 13:12:21,596] []  INFO {org.wso2.carbon.event.stream.core.EventStreamDeployer} - Stream definition is deployed successfully  : org.wso2.is.analytics.stream.OauthTokenIssuance:1.0.0
TID: [] [] [2024-06-19 13:12:21,596] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-OauthTokenRevocation.xml
TID: [] [] [2024-06-19 13:12:21,597] []  INFO {org.wso2.carbon.event.stream.core.internal.EventJunction} - WSO2EventConsumer added to the junction. Stream:org.wso2.is.analytics.stream.OauthTokenRevocation:1.0.0
TID: [] [] [2024-06-19 13:12:21,597] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher configuration successfully deployed and in active state : IsAnalytics-Publisher-wso2event-OauthTokenRevocation
TID: [] [] [2024-06-19 13:12:21,597] []  INFO {org.wso2.carbon.event.stream.core.EventStreamDeployer} - Stream definition is deployed successfully  : org.wso2.is.analytics.stream.OauthTokenRevocation:1.0.0
TID: [] [] [2024-06-19 13:12:21,598] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher undeployed successfully : IsAnalytics-Publisher-wso2event-OauthTokenValidation.xml
TID: [] [] [2024-06-19 13:12:21,599] []  INFO {org.wso2.carbon.event.stream.core.internal.EventJunction} - WSO2EventConsumer added to the junction. Stream:org.wso2.is.analytics.stream.OauthTokenValidation:1.0.0
TID: [] [] [2024-06-19 13:12:21,599] []  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher configuration successfully deployed and in active state : IsAnalytics-Publisher-wso2event-OauthTokenValidation
